Process_ID,Process_Name,Parameter_ID,Equipment_ID
PC0001,รับวัตถุดิบ,PR0009,MIT001
PC0001,,PR0019,VSC001
PC0002,ตรวจสอบ,PR0001,MDT001
PC0002,,PR0012,MDB004
PC0002,,PR0015,VSC001
PC0002,,PR0016,VSC001
PC0002,,PR0017,VSC001
PC0002,,PR0018,VSC001
PC0003,จัดเก็บห้อง RM/คลัง,PR0002,MTC001
PC0005,ลดขนาด 1,PR0004,MDT002
PC0006,ลดขนาด 2,PR0004,MDT002
PC0006,,PR0018,VSC001
PC0007,ลดขนาด 3,PR0004,MDT002
PC0007,,PR0018,VSC001
PC0009,นวดผสม,PR0005,MDT002
PC0009,,PR0018,VSC001
PC0011,บ่ม / หมัก,PR0002,MTC003
PC0012,ขึ้นรูป,PR0013,TMD001
PC0012,,PR0013,TMD002
PC0013,,PR0010,MDB001
PC0013,,PR0010,MDB004
PC0013,,PR0011,VSC001
PC0015,ชั่งน้ำหนักรวม,PR0012,MDB007
PC0016,บรรจุลงถุง,PR0015,VSC001
PC0016,,PR0016,VSC001
PC0017,ซีลปิดปากถุง,PR0014,VSC001
PC0018,จัดเก็บห้องแช่เยือกแข็ง,PR0007,MTF001
PC0018,,PR0007,MTF002
PC0018,,PR0007,MTF003
PC0018,,PR0007,MTF004
